Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
19	9.35	5	0.06	1.79	0.00		Hu H	2016	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	969	2.5	10.1109/SP.2016.62	
19		1	0.00	1.00	0.00		Jiang ZW	2020	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	55	1888	3.5	10.1109/JSSC.2020.2992886	
19		2	0.00	1.00	0.00		Gautschi M	2017	<html><b>...</b></html>	IEEE T VLSI SYST	25	2700	3.5	10.1109/TVLSI.2017.2654506	
18	8.29	6	0.03	1.25	0.00		Liu FF	2015	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	605	4.5	10.1109/SP.2015.43	
18		5	0.07	1.00	0.00		Arnautov S	2016	<html><b>...</b></html>	PROCEEDINGS OF OSDI16: 12TH USENIX SYMPOSIUM ON OPERATING SYSTEMS DESIGN AND IMPLEMENTATION	0	689	4.5		
17		2	0.00	1.00	0.00		van Schaik S	2019	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	88	4.5	10.1109/SP.2019.00087	
17		2	0.04	1.00	0.00		Gras B	2018	<html><b>...</b></html>	PROCEEDINGS OF THE 27TH USENIX SECURITY SYMPOSIUM	0	955	4.5		
17	10.10	6	0.00	1.01	0.00		Zimmer B	2016	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	51	930	1.5	10.1109/JSSC.2016.2519386	
16		2	0.00	1.00	0.00		Schwarz M	2019	<html><b>...</b></html>	PROCEEDINGS OF THE 2019 ACM SIGSAC CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY (CCS19)	0	753	4.5		
16		2	0.01	1.00	0.00		Hennessy JL	2019	<html><b>...</b></html>	COMMUN ACM	62	48	4.5	10.1145/3282307	
16		2	0.01	1.00	0.00		Kocher P	2020	<html><b>...</b></html>	COMMUN ACM	63	93	4.5	10.1145/3399742	
16		1	0.00	1.00	0.00		Zhang YQ	2020	<html><b>...</b></html>	DES AUT CON	0	0	3.5	10.1109/dac18072.2020.9218643	
16		2	0.01	1.00	0.00		Chen YH	2019	<html><b>...</b></html>	IEEE J EM SEL TOP C	9	292	2.5	10.1109/JETCAS.2019.2910232	
16		2	0.00	1.00	0.00		Chen TQ	2018	<html><b>...</b></html>	PROCEEDINGS OF THE 13TH USENIX SYMPOSIUM ON OPERATING SYSTEMS DESIGN AND IMPLEMENTATION	0	579	4.5		
15		2	0.00	1.00	0.00		Vaswani A	2017	<html><b>...</b></html>	ADV NEUR IN	30	0	4.5	10.1007/s11356-023-31437-0	
15		1	0.00	1.00	0.00		Jacob B	2018	<html><b>...</b></html>	PROC CVPR IEEE	0	2704	3.5	10.1109/CVPR.2018.00286	
15		3	0.01	1.00	0.00		Vahldiek-Oberwagner A	2019	<html><b>...</b></html>	PROCEEDINGS OF THE 28TH USENIX SECURITY SYMPOSIUM	0	1221	3.5		
15		2	0.01	1.00	0.00		Lowe-Power J	2020	<html><b>...</b></html>	Arxiv	0	0	4.5		
14		2	0.02	1.00	0.00		Van Buick J	2019	<html><b>...</b></html>	PROCEEDINGS OF THE 2019 ACM SIGSAC CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY (CCS19)	0	1741	3.5	10.1145/3319535.3363206	
14		3	0.00	1.00	0.00		Howard AG	2017	<html><b>...</b></html>	Arxiv	0	0	4.5		
14		0	0.00	1.00	0.00		Nelson L	2020	<html><b>...</b></html>	PROCEEDINGS OF THE 14TH USENIX SYMPOSIUM ON OPERATING SYSTEMS DESIGN AND IMPLEMENTATION (OSDI 20)	0	41	4.5		
13		2	0.00	1.00	0.00		Karandikar S	2018	<html><b>...</b></html>	CONF PROC INT SYMP C	0	29	4.5	10.1109/ISCA.2018.00014	
13	6.95	0	0.00	1.00	0.00		Davidson S	2018	<html><b>...</b></html>	IEEE MICRO	38	30	1.5	10.1109/MM.2018.022071133	
13	6.95	2	0.00	1.00	0.00		Ferraiuolo A	2018	<html><b>...</b></html>	PROCEEDINGS OF THE 2018 ACM SIGSAC CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY (CCS18)	0	1583	1.5	10.1145/3243734.3243743	
13		1	0.00	1.00	0.00		Hedayati M	2019	<html><b>...</b></html>	PROCEEDINGS OF THE 2019 USENIX ANNUAL TECHNICAL CONFERENCE	0	489	3.5		
13		1	0.00	1.00	0.00		Liu LB	2020	<html><b>...</b></html>	ACM COMPUT SURV	52	0	4.5	10.1145/3357375	
13		1	0.00	1.00	0.00		Tan C	2020	<html><b>...</b></html>	PR IEEE COMP DESIGN	0	381	4.5	10.1109/ICCD50377.2020.00070	
13		2	0.02	1.00	0.00		Shen YR	2020	<html><b>...</b></html>	TWENTY-FIFTH INTERNATIONAL CONFERENCE ON ARCHITECTURAL SUPPORT FOR PROGRAMMING LANGUAGES AND OPERATING SYSTEMS (ASPLOS XXV)	0	955	4.5	10.1145/3373376.3378469	
13	7.26	4	0.02	1.17	0.00		Shinde S	2016	<html><b>...</b></html>	ASIA CCS16: PROCEEDINGS OF THE 11TH ACM ASIA CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY	0	317	1.5	10.1145/2897845.2897885	
13		0	0.00	1.00	0.00		Zhang N	2020	<html><b>...</b></html>	IACR Transactions on Cryptographic Hardware and Embedded Systems	0	0	4.5	10.13154/TCHES.V2020.I2.49-72]	
12		3	0.02	1.00	0.00		Kiriansky V	2018	<html><b>...</b></html>	2018 51ST ANNUAL IEEE/ACM INTERNATIONAL SYMPOSIUM ON MICROARCHITECTURE (MICRO)	0	0	1.5		
11		3	0.02	1.00	0.00		Weng J	2020	<html><b>...</b></html>	ANN I S COM	0	268	4.5	10.1109/ISCA45697.2020.00032	
11		1	0.00	1.00	0.00		Narayan S	2020	<html><b>...</b></html>	PROCEEDINGS OF THE 29TH USENIX SECURITY SYMPOSIUM	0	699	4.5		
11		3	0.03	1.00	0.00		Qin E	2020	<html><b>...</b></html>	INT S HIGH PERF COMP	0	58	4.5	10.1109/HPCA47549.2020.00015	
11	5.39	5	0.02	1.13	0.00		Lee S	2017	<html><b>...</b></html>	PROCEEDINGS OF THE 26TH USENIX SECURITY SYMPOSIUM (USENIX SECURITY 17)	0	557	2.5		
10		1	0.00	1.00	0.00		Brady GJ	2016	<html><b>...</b></html>	SCI ADV	2	0	3.5	10.1126/sciadv.1601240	
10		1	0.00	1.00	0.00		Pearce H	2020	<html><b>...</b></html>	PROCEEDINGS OF THE 2020 ACM/IEEE 2ND WORKSHOP ON MACHINE LEARNING FOR CAD (MLCAD 20)	0	27	4.5	10.1145/3380446.3430634	
10	6.21	1	0.00	1.00	0.00		Tan YK	2016	<html><b>...</b></html>	ACM SIGPLAN NOTICES	51	60	1.5	10.1145/3022670.2951924	
10		3	0.03	1.00	0.00		Kwon H	2020	<html><b>...</b></html>	IEEE MICRO	40	20	4.5	10.1109/MM.2020.2985963	
10	5.86	1	0.00	1.00	0.00		Lee Y	2014	<html><b>...</b></html>	PROC EUR SOLID-STATE	0	199	3.5	10.1109/ESSCIRC.2014.6942056	
10		2	0.01	1.00	0.00		Brown TB	2020	<html><b>...</b></html>	Arxiv	0	0	4.5	10.48550/ARXIV.2005.14165]	
10		4	0.04	1.00	0.00		Khairy M	2020	<html><b>...</b></html>	ANN I S COM	0	473	4.5	10.1109/ISCA45697.2020.00047	
9		3	0.03	1.00	0.00		Dessouky G	2017	<html><b>...</b></html>	DES AUT CON	0	0	1.5	10.1145/3061639.3062276	
9		1	0.00	1.00	0.00		Shulaker MM	2017	<html><b>...</b></html>	NATURE	547	74	2.5	10.1038/nature22994	
9	5.02	5	0.04	1.22	0.00		Schuster F	2015	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	38	3.5	10.1109/SP.2015.10	
9		1	0.00	1.00	0.00		Canella C	2019	<html><b>...</b></html>	PROCEEDINGS OF THE 28TH USENIX SECURITY SYMPOSIUM	0	249	0.5		
9		1	0.00	1.00	0.00		Liu F	2016	<html><b>...</b></html>	INT S HIGH PERF COMP	0	406	3.5	10.1109/HPCA.2016.7446082	
8		2	0.01	1.00	0.00		Cao Q	2017	<html><b>...</b></html>	SCIENCE	356	1369	2.5	10.1126/science.aan2476	
8	4.71	3	0.00	1.01	0.00		Wang WH	2017	<html><b>...</b></html>	CCS17: PROCEEDINGS OF THE 2017 ACM SIGSAC CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY	0	2421	1.5	10.1145/3133956.3134038	
7		3	0.02	1.00	0.00		Abera T	2016	<html><b>...</b></html>	CCS16: PROCEEDINGS OF THE 2016 ACM SIGSAC CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY	0	743	2.5	10.1145/2976749.2978358	
6		0	0.00	1.00	0.00		Pullini A	2018	<html><b>...</b></html>	PROC EUR SOLID-STATE	0	274	0.5	10.1109/ESSCIRC.2018.8494247	
6		1	0.00	1.00	0.00		Woodruff J	2014	<html><b>...</b></html>	CONF PROC INT SYMP C	0	457	4.5	10.1109/ISCA.2014.6853201	
6		2	0.00	1.00	0.00		Kuznetsov V	2014	<html><b>...</b></html>	OSDI	0	0	4.5		
6		2	0.01	1.00	0.00		Dessouky G	2018	<html><b>...</b></html>	ICCAD-IEEE ACM INT	0	0	0.5	10.1145/3240765.3240821	
6		2	0.01	1.00	0.00		Ferraiuolo A	2017	<html><b>...</b></html>	PROCEEDINGS OF THE TWENTY-SIXTH ACM SYMPOSIUM ON OPERATING SYSTEMS PRINCIPLES (SOSP 17)	0	287	1.5	10.1145/3132747.3132782	
5	2.64	1	0.00	1.00	0.00		Lee Y	2016	<html><b>...</b></html>	IEEE MICRO	36	8	2.5	10.1109/MM.2016.11	
5		0	0.00	1.00	0.00		Koenig J	2017	<html><b>...</b></html>	P S COMP ARITHM	0	114	0.5	10.1109/ARITH.2017.38	
5		1	0.00	1.00	0.00		Koeberl P	2014	<html><b>...</b></html>	Proceedings of the 9th European Conference on Computer Systems EuroSys14	0	1	4.5	DOI 10.1145/2592798.2592824	
5		1	0.00	1.00	0.00		Patterson D	2018	<html><b>...</b></html>	ISSCC DIG TECH PAP I	0	27	0.5	10.1109/ISSCC.2018.8310168	
5		1	0.00	1.00	0.00		[Anonymous]	2017	<html><b>...</b></html>	NDSS	0	0	1.5		
4		3	0.00	1.00	0.00		Irazoqui G	2015	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	591	1.5	10.1109/SP.2015.42	
4		1	0.00	1.00	0.00		Kapre N	2017	<html><b>...</b></html>	ACM T RECONFIG TECHN	10	0	0.5	10.1145/3027486	
4		1	0.00	1.00	0.00		Kocher P	2018	<html><b>...</b></html>	Spectre attacks: Exploiting speculative execution	0	0	-0.5		
4		3	0.01	1.00	0.00		Zheng WT	2017	<html><b>...</b></html>	PROCEEDINGS OF NSDI 17: 14TH USENIX SYMPOSIUM ON NETWORKED SYSTEMS DESIGN AND IMPLEMENTATION	0	283	1.5		
4	2.64	3	0.00	1.00	0.00		Zimmer B	2015	<html><b>...</b></html>	SYMP VLSI CIRCUITS	0	0	0.5	10.1109/VLSIC.2015.7231305	
4		1	0.00	1.00	0.00		Zhang DF	2015	<html><b>...</b></html>	ACM SIGPLAN NOTICES	50	503	2.5	10.1145/2694344.2694372	
4		3	0.01	1.00	0.00		Chen SC	2017	<html><b>...</b></html>	PROCEEDINGS OF THE 2017 ACM ASIA CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY (ASIA CCS17)	0	7	0.5	10.1145/3052973.3053007	
4		1	0.00	1.00	0.00		Maas M	2013	<html><b>...</b></html>	Proceedings of the 2013 ACM SIGSAC conference on Computer communications security	0	311	3.5		
4		1	0.00	1.00	0.00		Asokan N	2015	<html><b>...</b></html>	CCS15: PROCEEDINGS OF THE 22ND ACM SIGSAC CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY	0	964	3.5	10.1145/2810103.2813670	
4		3	0.02	1.00	0.00		Evans I	2015	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	781	2.5	10.1109/SP.2015.53	
4		1	0.00	1.00	0.00		Azab AM	2014	<html><b>...</b></html>	CCS14: PROCEEDINGS OF THE 21ST ACM CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY	0	90	4.5	10.1145/2660267.2660350	
4	2.64	4	0.00	1.00	0.00		Bachrach J	2012	<html><b>...</b></html>	DES AUT CON	0	1212	3.5		
4		2	0.00	1.00	0.00		Hu H	2015	<html><b>...</b></html>	PROCEEDINGS OF THE 24TH USENIX SECURITY SYMPOSIUM	0	177	3.5		
4		1	0.00	1.00	0.00		Brasser Ferdinand	2017	<html><b>...</b></html>	P USENIX WORKSH OFF	0	0	0.5		
3		3	0.00	1.00	0.00		Hunt T	2016	<html><b>...</b></html>	PROCEEDINGS OF OSDI16: 12TH USENIX SYMPOSIUM ON OPERATING SYSTEMS DESIGN AND IMPLEMENTATION	0	533	0.5		
3		2	0.00	1.00	0.00		Souvignet T	2016	<html><b>...</b></html>	IEEE T POWER ELECTR	31	4984	1.5	10.1109/TPEL.2015.2478850	
3		0	0.00	1.00	0.00		Kim W	2012	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	47	206	4.5	10.1109/JSSC.2011.2169309	
3		3	0.00	1.00	0.00		Leslie-Hurd R	2015	<html><b>...</b></html>	LECT NOTES COMPUT SC	9207	144	1.5	10.1007/978-3-319-21668-3_9	
3		4	0.00	1.00	0.00		Tsai CC	2017	<html><b>...</b></html>	2017 USENIX ANNUAL TECHNICAL CONFERENCE (USENIX ATC 17)	0	645	0.5		
3		2	0.02	1.00	0.00		Hawblitzel Chris	2014	<html><b>...</b></html>	Proceedings of the 11th USENIX Symposium on Operating Systems Design and Implementation (OSDI 14). OSDI 14	0	165	2.5		
3		1	0.00	1.00	0.00		Szekeres L	2013	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	48	4.5	10.1109/SP.2013.13	
3		5	0.02	1.00	0.00		Hofmann OS	2013	<html><b>...</b></html>	ACM SIGPLAN NOTICES	48	265	4.5	10.1145/2499368.2451146	
3		1	0.00	1.00	0.00		Abdelfattah MS	2014	<html><b>...</b></html>	ACM T RECONFIG TECHN	7	0	3.5	10.1145/2629442	
3		3	0.00	1.00	0.00		Ohrimenko O	2016	<html><b>...</b></html>	PROCEEDINGS OF THE 25TH USENIX SECURITY SYMPOSIUM	0	619	0.5		
3		9	0.01	1.00	0.00		Flatresse P	2013	<html><b>...</b></html>	ISSCC DIG TECH PAP I	56	424	1.5	10.1109/ISSCC.2013.6487798	
3		1	0.00	1.00	0.00		Jacquet D	2014	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	49	812	2.5	10.1109/JSSC.2013.2295977	
3		4	0.00	1.00	0.00		Le HP	2013	<html><b>...</b></html>	ISSCC DIG TECH PAP I	56	372	4.5	10.1109/ISSCC.2013.6487775	
3		3	0.00	1.00	0.00		Villar-Piqué G	2013	<html><b>...</b></html>	IEEE T POWER ELECTR	28	4156	4.5	10.1109/TPEL.2013.2242094	
3		0	0.00	1.00	0.00		Gray J	2016	<html><b>...</b></html>	ANN IEEE SYM FIELD P	0	17	0.5	10.1109/FCCM.2016.12	
3		2	0.00	1.00	0.00		Van Bulck J	2017	<html><b>...</b></html>	PROCEEDINGS OF THE 26TH USENIX SECURITY SYMPOSIUM (USENIX SECURITY 17)	0	1041	0.5		
3		3	0.00	1.00	0.00		Brenner S	2016	<html><b>...</b></html>	MIDDLEWARE 16: PROCEEDINGS OF THE 17TH INTERNATIONAL MIDDLEWARE CONFERENCE	0	0	0.5	10.1145/2988336.2988350	
3		2	0.00	1.00	0.00		[Anonymous]	2017	<html><b>...</b></html>	P 2017 ANN NETW DIST	0	0	-0.5		
3		1	0.00	1.00	0.00		Guéneau A	2017	<html><b>...</b></html>	LECT NOTES COMPUT SC	10201	584	0.5	10.1007/978-3-662-54434-1_22	
3		4	0.01	1.00	0.00		Murray T	2013	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	415	3.5	10.1109/SP.2013.35	
3		2	0.01	1.00	0.00		Conti M	2015	<html><b>...</b></html>	CCS15: PROCEEDINGS OF THE 22ND ACM SIGSAC CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY	0	952	2.5	10.1145/2810103.2813671	
3		1	0.00	1.00	0.00		Owusu E	2013	<html><b>...</b></html>	Proceedings of the 2013 ACM SIGSAC conference on Computer communications security	0	13	3.5	10.1145/2508859.2516678	
3		3	0.00	1.00	0.00		Pires R	2016	<html><b>...</b></html>	MIDDLEWARE 16: PROCEEDINGS OF THE 17TH INTERNATIONAL MIDDLEWARE CONFERENCE	0	0	0.5	10.1145/2988336.2988346	
3		3	0.00	1.00	0.00		Jain R	2014	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	49	917	3.5	10.1109/JSSC.2013.2297402	
2		9	0.00	1.00	0.00		Le HP	2011	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	46	2120	4.5	10.1109/JSSC.2011.2159054	
2		5	0.00	1.00	0.00		Grenat A	2014	<html><b>...</b></html>	ISSCC DIG TECH PAP I	57	106	1.5	10.1109/ISSCC.2014.6757358	
1		1	0.00	1.00	0.00		Lee Y	2011	<html><b>...</b></html>	ISCA 2011: PROCEEDINGS OF THE 38TH ANNUAL INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE	0	129	4.5		
1		9	0.00	1.00	0.00		Ebrahimi M	2013	<html><b>...</b></html>	EUROMICRO WORKSHOP P	0	462	2.5	10.1109/PDP.2013.75	
1		28	0.00	1.00	0.00		Busseuil R	2011	<html><b>...</b></html>	Proceedings of the 2011 International Conference on Reconfigurable Computing and FPGAs (ReConFig 2011)	0	357	4.5	10.1109/ReConFig.2011.66	
1		9	0.00	1.00	0.00		Wentzlaff D	2012	<html><b>...</b></html>	CONF PROC INT SYMP C	0	464	3.5	10.1109/ISCA.2012.6237040	
1		9	0.00	1.00	0.00		Crossley J	2013	<html><b>...</b></html>	ICCAD-IEEE ACM INT	0	74	1.5	10.1109/ICCAD.2013.6691100	
1		7	0.00	1.00	0.00		Arcas-Abella Oriol	2014	<html><b>...</b></html>	24th International Conference on Field Programmable Logic and Applications (FPL)	0	1	1.5	DOI 10.1109/FPL.2014.6927484	
1		28	0.00	1.00	0.00		Balwaik R	2013	<html><b>...</b></html>	iosrjournals.org	2	43	2.5		
1		0	0.00	1.00	0.00		Kwak J	2015	<html><b>...</b></html>	P IEEE AS SOL STAT C	0	1	0.5		
1		4	0.00	1.00	0.00		Robinson James	2010	<html><b>...</b></html>	Proceedings of the VI Southern Programmable Logic Conference (SPL)	0	3	4.5	10.1109/SPL.2010.5483016	
1		28	0.00	1.00	0.00		Balasubramanian R	2015	<html><b>...</b></html>	ACM T ARCHIT CODE OP	12	0	0.5	10.1145/2764908	
1		9	0.00	1.00	0.00		Miller B	2012	<html><b>...</b></html>	2012 IEEE International Solid-State Circuits Conference (ISSCC)	0	58	3.5	10.1109/ISSCC.2012.6176877	
1		9	0.00	1.00	0.00		Ebrahimi M	2013	<html><b>...</b></html>	ASIA S PACIF DES AUT	0	601	2.5	10.1109/ASPDAC.2013.6509664	
1		1	0.00	1.00	0.00		Galal S	2013	<html><b>...</b></html>	P S COMP ARITHM	0	25	2.5	10.1109/ARITH.2013.27	
1		9	0.00	1.00	0.00		Ubal R	2012	<html><b>...</b></html>	INT CONFER PARA	0	335	3.5		
1		2	0.00	1.00	0.00		Park Y	2011	<html><b>...</b></html>	IEEE CUST INTEGR CIR	0	0	4.5		
1		1	0.00	1.00	0.00		[Anonymous]	2015	<html><b>...</b></html>	UCBEECS2015264	0	0	0.5		
1		0	0.00	1.00	0.00		Nalamalpu Ankireddy	2015	<html><b>...</b></html>	2015 Symposium on VLSI Circuits (VLSI Circuits)	0	C314	0.5	10.1109/VLSIC.2015.7231304	
1		9	0.00	1.00	0.00		Stefanov Emil	2013	<html><b>...</b></html>	ACM CCS	0	0	2.5	DOI 10.1145/2508859.2516660	
1		1	0.00	1.00	0.00		Lee Y	2015	<html><b>...</b></html>	UCBEECS2015262	0	0	0.5		
1		1	0.00	1.00	0.00		Krishnamurthy H K	2014	<html><b>...</b></html>	[No title captured]	0	1	1.5	DOI 10.1109/VLSIC.2014.6858438	
1		1	0.00	1.00	0.00		Jing ZG	2011	<html><b>...</b></html>	SEMICOND SCI TECH	26	0	4.5	10.1088/0268-1242/26/8/085001	
1		1	0.00	1.00	0.00		Saripalli V	2011	<html><b>...</b></html>	2011 IEEE/ACM International Symposium on Nanoscale Architectures (NANOARCH)	0	45	4.5	10.1109/NANOARCH.2011.5941482	
1		1	0.00	1.00	0.00		Villalon A	2014	<html><b>...</b></html>	S VLSI TECH	0	0	1.5	10.1109/VLSIT.2014.6894369	
1		4	0.00	1.00	0.00		Schoeberl M	2011	<html><b>...</b></html>	2011 International Conference on Field Programmable Logic and Applications	0	10	3.5	10.1109/FPL.2011.13	
1		1	0.00	1.00	0.00		Gupta N	2015	<html><b>...</b></html>	IEEE INT SYMP CIRC S	0	597	0.5	10.1109/ISCAS.2015.7168704	
1		9	0.00	1.00	0.00		Pellegrini A	2012	<html><b>...</b></html>	DES AUT TEST EUROPE	0	1106	3.5		
1		9	0.00	1.00	0.00		Szefer J	2012	<html><b>...</b></html>	ASPLOS XVII: SEVENTEENTH INTERNATIONAL CONFERENCE ON ARCHITECTURAL SUPPORT FOR PROGRAMMING LANGUAGES AND OPERATING SYSTEMS	0	437	3.5		
1		5	0.00	1.00	0.00		Clerc Sylvain	2015	<html><b>...</b></html>	2015 IEEE International Solid-State Circuits Conference (ISSCC). Digest of Technical Papers	0	1	0.5	10.1109/ISSCC.2015.7062970	
